"","GEOID","BF_COUNT","PB_COUNT","STATE_NUM","STATE_TERR","STATE_CODE"
"123","01073005104",NA,NA,"01","Alabama","AL"
"124","01073011108",NA,NA,"01","Alabama","AL"
"125","01073005910",NA,NA,"01","Alabama","AL"
"126","01079979100",NA,NA,"01","Alabama","AL"
"127","01079979900",NA,NA,"01","Alabama","AL"
"128","01079979800",NA,NA,"01","Alabama","AL"
"129","01079979700",NA,NA,"01","Alabama","AL"
"130","01079979600",NA,NA,"01","Alabama","AL"
"131","01079979400",NA,1,"01","Alabama","AL"
"132","01079979300",NA,NA,"01","Alabama","AL"
"133","01079979200",NA,NA,"01","Alabama","AL"
"134","01079979500",NA,NA,"01","Alabama","AL"
"135","01131034800",NA,2,"01","Alabama","AL"
"136","01131035100",NA,NA,"01","Alabama","AL"
"137","01131034700",NA,NA,"01","Alabama","AL"
"138","01131035200",NA,NA,"01","Alabama","AL"
"139","01073012915",NA,NA,"01","Alabama","AL"
"140","01073012914",NA,NA,"01","Alabama","AL"
"141","01073014412",NA,NA,"01","Alabama","AL"
"142","01073012910",NA,NA,"01","Alabama","AL"
"143","01003011406",NA,NA,"01","Alabama","AL"
"144","01095030701",NA,NA,"01","Alabama","AL"
"145","01095030401",NA,1,"01","Alabama","AL"
"146","01095030903",NA,2,"01","Alabama","AL"
"147","01121010101",NA,NA,"01","Alabama","AL"
"148","01047956701",NA,NA,"01","Alabama","AL"
"149","01047956702",2,NA,"01","Alabama","AL"
"150","01095030702",NA,1,"01","Alabama","AL"
"151","01095030904",NA,NA,"01","Alabama","AL"
"152","01001020801",NA,NA,"01","Alabama","AL"
"153","01081042005",NA,NA,"01","Alabama","AL"
"154","01101005606",NA,NA,"01","Alabama","AL"
"155","01025957601",NA,NA,"01","Alabama","AL"
"156","01025957700",NA,NA,"01","Alabama","AL"
"157","01021060600",NA,NA,"01","Alabama","AL"
"158","01021060101",NA,1,"01","Alabama","AL"
"159","01021060500",NA,NA,"01","Alabama","AL"
"160","01021060200",NA,NA,"01","Alabama","AL"
"161","01021060401",1,NA,"01","Alabama","AL"
"162","01021060102",NA,NA,"01","Alabama","AL"
"163","01021060300",NA,NA,"01","Alabama","AL"
"164","01021060700",NA,NA,"01","Alabama","AL"
"165","01021060402",2,NA,"01","Alabama","AL"
"166","01081042002",NA,NA,"01","Alabama","AL"
"167","01081040902",NA,NA,"01","Alabama","AL"
"168","01081040604",NA,NA,"01","Alabama","AL"
"169","01081040603",NA,NA,"01","Alabama","AL"
"170","01081042101",NA,NA,"01","Alabama","AL"
"171","01089010901",NA,NA,"01","Alabama","AL"
"172","01089011100",NA,NA,"01","Alabama","AL"
"173","01097002502",NA,NA,"01","Alabama","AL"
"174","01097005300",NA,NA,"01","Alabama","AL"
"175","01097005600",NA,NA,"01","Alabama","AL"
"176","01097006000",1,NA,"01","Alabama","AL"
"177","01097006103",1,NA,"01","Alabama","AL"
"178","01097006802",NA,NA,"01","Alabama","AL"
"179","01097007000",NA,NA,"01","Alabama","AL"
"180","01097000200",3,NA,"01","Alabama","AL"
"181","01097000401",1,NA,"01","Alabama","AL"
"182","01097000402",NA,NA,"01","Alabama","AL"
"183","01097000600",1,NA,"01","Alabama","AL"
"184","01097005400",NA,NA,"01","Alabama","AL"
"185","01081041400",NA,NA,"01","Alabama","AL"
"186","01081041600",NA,NA,"01","Alabama","AL"
"187","01081041200",NA,NA,"01","Alabama","AL"
"188","01097002400",NA,NA,"01","Alabama","AL"
"189","01097003708",NA,NA,"01","Alabama","AL"
"190","01003011102",NA,NA,"01","Alabama","AL"
"191","01097003710",NA,NA,"01","Alabama","AL"
"192","01097002501",NA,NA,"01","Alabama","AL"
"193","01097003205",NA,1,"01","Alabama","AL"
"194","01097003302",NA,NA,"01","Alabama","AL"
"195","01097003402",NA,NA,"01","Alabama","AL"
"196","01117030320",NA,NA,"01","Alabama","AL"
"197","01117030604",NA,NA,"01","Alabama","AL"
"198","01117030701",NA,3,"01","Alabama","AL"
"199","01097003405",NA,NA,"01","Alabama","AL"
"200","01097003406",NA,NA,"01","Alabama","AL"
