"GEOID","BF_COUNT","PB_COUNT","STATE_NUM","STATE_TERR","STATE_CODE"
"01103000600",1,1,"01","Alabama","AL"
"01103005303",3,NA,"01","Alabama","AL"
"01105687100",2,1,"01","Alabama","AL"
"01107050300",1,3,"01","Alabama","AL"
"01115040204",1,NA,"01","Alabama","AL"
"01117030306",1,NA,"01","Alabama","AL"
"01119011300",2,1,"01","Alabama","AL"
"01121010700",1,3,"01","Alabama","AL"
"01121010900",20,NA,"01","Alabama","AL"
"01121011600",1,NA,"01","Alabama","AL"
"01123962700",1,NA,"01","Alabama","AL"
"01125010302",1,NA,"01","Alabama","AL"
"01125011600",2,1,"01","Alabama","AL"
"01125011701",1,NA,"01","Alabama","AL"
"01125011703",1,NA,"01","Alabama","AL"
"01127021500",7,NA,"01","Alabama","AL"
"02016000100",1,NA,"02","Alaska","AK"
"02020000400",1,NA,"02","Alaska","AK"
"02020000802",1,NA,"02","Alaska","AK"
"02020000901",5,1,"02","Alaska","AK"
"02020001000",2,NA,"02","Alaska","AK"
"02020001100",2,NA,"02","Alaska","AK"
"02020001900",1,NA,"02","Alaska","AK"
"02020002000",4,NA,"02","Alaska","AK"
"02050000100",9,NA,"02","Alaska","AK"
"02050000300",1,NA,"02","Alaska","AK"
"02070000100",6,NA,"02","Alaska","AK"
"02090000100",1,NA,"02","Alaska","AK"
"02090000200",1,2,"02","Alaska","AK"
"02090000600",1,NA,"02","Alaska","AK"
"02090001900",2,NA,"02","Alaska","AK"
"02105000300",1,NA,"02","Alaska","AK"
"02110000500",2,NA,"02","Alaska","AK"
"02110000600",1,NA,"02","Alaska","AK"
"02122000100",1,NA,"02","Alaska","AK"
"02122000600",1,1,"02","Alaska","AK"
"02130000100",1,NA,"02","Alaska","AK"
"02150000100",6,NA,"02","Alaska","AK"
"02150000200",1,1,"02","Alaska","AK"
"02150000300",3,NA,"02","Alaska","AK"
"02150000400",1,NA,"02","Alaska","AK"
"02150000500",1,NA,"02","Alaska","AK"
"02158000100",8,NA,"02","Alaska","AK"
"02164000100",22,NA,"02","Alaska","AK"
"02170000102",1,NA,"02","Alaska","AK"
"02170000800",1,NA,"02","Alaska","AK"
"02170001201",3,2,"02","Alaska","AK"
"02170001300",1,NA,"02","Alaska","AK"
"02180000100",2,NA,"02","Alaska","AK"
"02180000200",2,2,"02","Alaska","AK"
"02185000100",1,1,"02","Alaska","AK"
"02188000100",8,NA,"02","Alaska","AK"
"02198000100",4,NA,"02","Alaska","AK"
"02198000200",1,1,"02","Alaska","AK"
"02198940100",9,NA,"02","Alaska","AK"
"02240000100",2,NA,"02","Alaska","AK"
"02240000400",2,NA,"02","Alaska","AK"
"02261000100",3,NA,"02","Alaska","AK"
"02261000200",1,NA,"02","Alaska","AK"
"02261000300",2,NA,"02","Alaska","AK"
"02282000100",1,NA,"02","Alaska","AK"
"02290000100",6,NA,"02","Alaska","AK"
"02290000200",5,NA,"02","Alaska","AK"
"02290000300",8,NA,"02","Alaska","AK"
"02290000400",7,NA,"02","Alaska","AK"
"04001970200",3,NA,"04","Arizona","AZ"
"04001970502",3,NA,"04","Arizona","AZ"
"04003000201",1,NA,"04","Arizona","AZ"
"04003001100",2,NA,"04","Arizona","AZ"
"04003002100",1,NA,"04","Arizona","AZ"
"04005000200",1,NA,"04","Arizona","AZ"
"04005000300",5,NA,"04","Arizona","AZ"
"04005000500",1,NA,"04","Arizona","AZ"
"04005000800",14,2,"04","Arizona","AZ"
"04005000900",1,NA,"04","Arizona","AZ"
"04005001102",4,NA,"04","Arizona","AZ"
"04005001200",10,NA,"04","Arizona","AZ"
