X,Y,ID,COMPONENT,SITE_NAME,JOINT_BASE,STATE_TERR,BRAC_SITE,STATE_CODE,STATE_NUM,TRACT_ZIP,TRACT_FOLDER,TRACT_FILE
144.794719999601,13.4825000007644,"791",Navy Active,NAVBASE Guam Tiyan,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.84501961946,13.591598996029,"792",Navy Active,NAVBASE Guam Finegayan,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
-118.082650000226,33.9030700011117,"793",AF Reserve,Norwalk 2,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-84.5013999999215,39.1064000005078,"794",AF Active,Cincinnati Defense Fuel Support Point,N/A,Ohio,NO,OH,"39",tracts/tl_2019_39_tract.zip,tracts/tl_2019_39_tract/,tl_2019_39_tract.shp
-121.387699149936,38.7123481654676,"795",AF Active,McClellan FH Annex,N/A,California,YES,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
144.812550000422,13.4564000000364,"796",AF Active,Andersen Communications Annex #2,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.809824464098,13.5097569643275,"797",AF Active,Andersen Supply Annex,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.811100000132,13.5179100007758,"798",AF Active,Andersen Petrol Product Storage Annex #2,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.914793542903,13.5359210228135,"799",AF Active,Andersen AFS,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.862339999602,13.5867000007523,"800",AF Active,Andersen Petrol Product Storage Annex #1,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
-88.1458391779584,40.293560219125,"801",AF Active,Chanute AFB,N/A,Illinois,YES,IL,"17",tracts/tl_2019_17_tract.zip,tracts/tl_2019_17_tract/,tl_2019_17_tract.shp
-121.739699999816,38.5452000009997,"802",AF Active,Davis Communications Annex,N/A,California,YES,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-76.0034999997723,42.1768000010652,"803",AF Active,Air Force Plant #59,N/A,New York,NO,NY,"36",tracts/tl_2019_36_tract.zip,tracts/tl_2019_36_tract/,tl_2019_36_tract.shp
-122.045036347734,37.4118804360909,"804",AF Guard,NAS Moffett Field,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
144.908831669158,13.5893790613157,"805",AF Active,Andersen AFB,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
144.866157781986,13.5085204533574,"806",AF Active,Andersen Administration Annex,Joint Region Marianas,Guam,NO,GU,"66",tracts/tl_2019_66_tract.zip,tracts/tl_2019_66_tract/,tl_2019_66_tract.shp
-76.1631684983144,36.9167877791311,"807",Navy Active,NAVPHIBASE Little Creek,Joint Expeditionary Base Little Creek - Fort Story,Virginia,NO,VA,"51",tracts/tl_2019_51_tract.zip,tracts/tl_2019_51_tract/,tl_2019_51_tract.shp
-76.4494980356197,38.2549778713127,"808",Navy Active,Glenn Forest,N/A,Maryland,NO,MD,"24",tracts/tl_2019_24_tract.zip,tracts/tl_2019_24_tract/,tl_2019_24_tract.shp
-76.4287563064499,38.1446140452113,"809",Navy Active,Webster Field,N/A,Maryland,NO,MD,"24",tracts/tl_2019_24_tract.zip,tracts/tl_2019_24_tract/,tl_2019_24_tract.shp
-77.0904372389756,39.0019581979017,"810",Navy Active,National Naval Medical Center Bethesda,N/A,Maryland,NO,MD,"24",tracts/tl_2019_24_tract.zip,tracts/tl_2019_24_tract/,tl_2019_24_tract.shp
-76.4200168395344,38.2818839799175,"811",Navy Active,NAS Patuxent River,N/A,Maryland,NO,MD,"24",tracts/tl_2019_24_tract.zip,tracts/tl_2019_24_tract/,tl_2019_24_tract.shp
-76.0193859886281,36.923607320432,"812",Navy Active,Fort Story,Joint Expeditionary Base Little Creek - Fort Story,Virginia,NO,VA,"51",tracts/tl_2019_51_tract.zip,tracts/tl_2019_51_tract/,tl_2019_51_tract.shp
-75.4477776448435,39.7528239949163,"813",Army Reserve,Pedricktown Support Facility,Joint Base McGuire-Dix-Lakehurst,New Jersey,YES,NJ,"34",tracts/tl_2019_34_tract.zip,tracts/tl_2019_34_tract/,tl_2019_34_tract.shp
-104.332443966784,38.3171742445957,"814",Army Active,Pueblo Chemical Depot,N/A,Colorado,NO,CO,"08",tracts/tl_2019_08_tract.zip,tracts/tl_2019_08_tract/,tl_2019_08_tract.shp
-71.6258382376501,42.5232518045502,"815",Army Reserve,Devens Reserve Forces Training Area,N/A,Massachusetts,NO,MA,"25",tracts/tl_2019_25_tract.zip,tracts/tl_2019_25_tract/,tl_2019_25_tract.shp
-121.392347544857,37.7158727112823,"816",Army Active,Defense Distribution Region West Tracy,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-86.8099999999154,33.5169400012155,"817",Navy Reserve,NOSC-MCRC Bessemer Al,N/A,Alabama,NO,AL,"01",tracts/tl_2019_01_tract.zip,tracts/tl_2019_01_tract/,tl_2019_01_tract.shp
